bs_v_mean,bs_v_std,ep_len,ep_r_bs_sum,ep_r_ue_sum,epsilon,fair_ep,fair_mean_step,loss_bs,loss_ue,on_ratio_mean,thr_last,thr_mean,thr_sum,type,ue_v_mean,ue_v_std
,,200.0,70.3756665289402,27.327044406231963,0.9048147898403269,0.9009278137710537,0.07335335434723324,,,0.7966666666666665,4.18255743635792,2.732704440623196,546.5408881246392,rollout,,
,,200.0,75.00184314791113,26.148675562702635,0.8186898039137951,0.9338171687400532,0.07319878447744536,,,0.8116666666666665,1.454598505428032,2.614867556270263,522.9735112540526,rollout,,
,,200.0,10.937666516751051,28.027383584470908,0.7407626428726788,0.8517191875354695,0.07516006701248087,,,0.8233333333333333,3.6503588781860548,2.802738358447089,560.5476716894178,rollout,,
,,200.0,-111.64480338105932,23.7916764367856,0.6702529950324074,0.9076981400388928,0.07622041507454803,,,0.8566666666666666,1.6979464297537703,2.379167643678559,475.8335287357118,rollout,,
,,200.0,-218.41694937553257,20.306319064381384,0.606454822840097,0.9151277730082092,0.07418468118596606,,,0.8533333333333333,1.4068571897134403,2.030631906438137,406.1263812876274,rollout,,
,,200.0,-166.2568720956333,20.86298975073279,0.548729293075715,0.8363719709646269,0.07513153106068064,,,0.825,1.4998320661923088,2.086298975073277,417.2597950146554,rollout,,
,,200.0,-248.0029501421377,19.372102443923605,0.49649837999353363,0.8590544814083476,0.07507007405758732,,,0.8466666666666666,0.28189901367178294,1.937210244392358,387.4420488784716,rollout,,
,,200.0,-360.2458198517561,16.594959082172775,0.44923907734991153,0.8542489706056212,0.07426077910839161,,,0.8583333333333332,5.246870363149455,1.6594959082172762,331.8991816434552,rollout,,
,,200.0,-417.9615153372288,15.901090818126937,0.406478161360422,0.8500124467051083,0.07648979259443972,,,0.885,0.5473645046542859,1.5901090818126935,318.0218163625387,rollout,,
,,200.0,-423.44028697535396,17.348318979033746,0.3677874521460121,0.8391725101600513,0.07495525828846883,,,0.8566666666666666,1.6632838189407302,1.7348318979033737,346.96637958067475,rollout,,
,,200.0,-315.78877399116755,17.956227949852806,0.3327795262194029,0.8226031567381309,0.07579235741400966,,,0.8566666666666666,0.5234619595548473,1.7956227949852812,359.1245589970562,rollout,,
,,200.0,-381.3125585941598,15.361288774401908,0.3011038370793723,0.8366984472712066,0.07639288493185227,,,0.85,0.5039644599380111,1.53612887744019,307.225775488038,rollout,,
,,200.0,-522.635912053287,14.388704553658338,0.27244320506708813,0.8737809868831017,0.07576601253337314,,,0.8616666666666667,1.5928086065511167,1.438870455365833,287.7740910731666,rollout,,
,,200.0,-285.0596474506892,17.217767776259553,0.24651064133620196,0.7327821115979575,0.07417291572966307,,,0.7916666666666665,0.29191477541990984,1.7217767776259536,344.3553555251907,rollout,,
,,200.0,-376.9623340778053,12.414966588569571,0.22304647413401948,0.6774970409567304,0.0778352486711821,,,0.845,0.31375875592514657,1.2414966588569565,248.29933177139128,rollout,,
,,200.0,-66.88430294394493,16.37195169761498,0.2018157486181985,0.8194222117682861,0.07277381640445053,,,0.7566666666666666,0.6909350464815653,1.6371951697614966,327.4390339522993,rollout,,
,,200.0,29.825869324617088,17.825460190655882,0.1826058741724434,0.7542893200774955,0.06461124097757726,,,0.7116666666666666,4.165804197115825,1.782546019065588,356.5092038131176,rollout,,
,,200.0,50.39867193624377,15.904350261099996,0.1652244956629483,0.8478347897293546,0.06949018233604803,,,0.7216666666666666,2.0387436132289825,1.5904350261099987,318.08700522199973,rollout,,
,,200.0,301.7756987628527,20.158451550663507,0.1494975673197442,0.8934320000824261,0.058946192516734205,,,0.5933333333333333,2.275073146456954,2.0158451550663523,403.16903101327046,rollout,,
,,200.0,207.5847139042162,17.460485691077203,0.13526760995605422,0.8522953204268111,0.06531634810482334,,,0.6416666666666666,0.953960244224134,1.7460485691077183,349.2097138215437,rollout,,
,,200.0,397.75640837242827,20.764153803419003,0.12239213407459068,0.9026948557817215,0.054883291992792724,,,0.525,0.2900956238563932,2.076415380341902,415.2830760683804,rollout,,
,,200.0,235.88964515912812,19.133065606152208,0.11074221307080971,0.7819329183225348,0.0559556281790486,,,0.51,0.0,1.9133065606152206,382.6613121230441,rollout,,
,,200.0,458.90803040377796,22.945401519968385,0.1002011922461172,0.9068605543050533,0.04813953594170714,,,0.4233333333333333,0.6116380871006715,2.294540151996838,458.90803039936753,rollout,,
,,200.0,490.39017662219703,24.51950871279794,0.09066352070392071,0.8597465718903669,0.045193553647581174,,,0.4116666666666666,4.236949539861305,2.4519508712797933,490.39017425595864,rollout,,
,,200.0,540.922603867948,27.04613017390963,0.0820336944319021,0.8702360526285297,0.03862808984907759,,,0.3033333333333333,4.473427515210604,2.704613017390963,540.9226034781926,rollout,,
,,200.0,511.73108959849924,25.586554454926755,0.07422529998722693,0.8593499168990297,0.03729674477982749,,,0.2866666666666666,4.8834182068989,2.5586554454926738,511.73108909853477,rollout,,
,,200.0,475.97547195572406,23.798773425455778,0.06716014920877787,0.8714812374934802,0.03270269750576666,,,0.26166666666666666,2.6977854549279416,2.3798773425455795,475.9754685091159,rollout,,
,,200.0,409.9721709564328,20.498608452887478,0.06076749629198526,0.7993249821484217,0.029238570517781656,,,0.22833333333333333,5.815124062344184,2.0498608452887477,409.97216905774957,rollout,,
,,200.0,470.74343498889357,23.537171660078112,0.05498332938655545,0.7258759243198968,0.030633732414424943,,,0.2333333333333333,6.135469700754196,2.35371716600781,470.7434332015619,rollout,,
,,200.0,446.83097225334495,22.341548590445207,0.05,0.7974269073699214,0.02908974913930618,,,0.225,6.861481841659385,2.2341548590445193,446.8309718089038,rollout,,
,,200.0,340.80877719726413,17.040438794381313,0.05,0.7430536905962786,0.024442009939832286,,,0.19,4.1769322537228195,1.7040438794381327,340.80877588762655,rollout,,
,,200.0,430.8555380254984,21.542776943309637,0.05,0.8396194733870636,0.026402124896097213,,,0.19166666666666665,0.0,2.1542776943309643,430.85553886619283,rollout,,
,,200.0,315.14245875924826,15.757122949653601,0.05,0.7022857526891406,0.023391804059580835,,,0.17833333333333332,4.713885670068568,1.5757122949653606,315.1424589930721,rollout,,
,,200.0,459.2960973922163,22.964804915629948,0.05,0.7944157482763285,0.029625324193538357,,,0.23,3.1808409077764894,2.296480491562995,459.296098312599,rollout,,
,,200.0,357.18214344605803,17.85910717154882,0.05,0.7648052407316228,0.02537722583380106,,,0.19,0.0,1.7859107171548814,357.1821434309763,rollout,,
