bs_v_mean,bs_v_std,ep_len,ep_r_bs_sum,ep_r_ue_sum,epsilon,fair_ep,fair_mean_step,loss_bs,loss_ue,on_ratio_mean,thr_last,thr_mean,thr_sum,type,ue_v_mean,ue_v_std
,,200.0,-367.20473500341177,-4568.886169675484,0.9048147898403269,0.8613466930592277,0.0773665214409068,,,0.8183333333333332,0.25863215729588473,2.494312934170671,498.8625868341342,rollout,,
,,200.0,-1156.983977995813,-7074.455547509501,0.8186898039137951,0.788573281945968,0.07357978268630873,,,0.815,4.286230969187756,2.1679134489467202,433.58268978934404,rollout,,
,,200.0,-1801.8624221682549,-8061.801317160014,0.7407626428726788,0.8067147272208949,0.07313527530587793,,,0.8166666666666668,4.60287856482041,2.2411795801845487,448.23591603690977,rollout,,
,,200.0,-2796.8929158449173,-8664.40620297399,0.6702529950324074,0.6924652003214148,0.07518173194367421,,,0.84,0.6798183560822895,2.079435379636083,415.88707592721664,rollout,,
,,200.0,-3452.0845029354095,-9602.411600937614,0.606454822840097,0.8631149622183641,0.06960722669415582,,,0.815,2.200549285868887,1.8105358371089122,362.10716742178244,rollout,,
,,200.0,-4228.359353303909,-10121.533751042423,0.548729293075715,0.8343845908190898,0.07167094740883863,,,0.81,1.0891032597780255,1.9225949758897798,384.51899517795596,rollout,,
,,200.0,-5102.026686191559,-10770.842764290695,0.49649837999353363,0.859715620939178,0.07358829574073111,,,0.8083333333333335,5.142328303796086,1.5120250809695894,302.4050161939179,rollout,,
,,200.0,-5890.003789901733,-11283.770544336445,0.44923907734991153,0.7741620684607885,0.07528581199066998,,,0.7966666666666665,0.6577513482680647,1.6623226221657297,332.4645244331459,rollout,,
,,200.0,-6276.578871965408,-11785.857929519843,0.406478161360422,0.7393793449066395,0.072326745845325,,,0.745,3.9369619994303844,1.4856472010525181,297.1294402105036,rollout,,
,,200.0,-7259.714917421341,-12535.464772444107,0.3677874521460121,0.882723854686425,0.07428683437074386,,,0.78,2.1354251588968025,1.2055670577056004,241.11341154112006,rollout,,
,,200.0,-6447.842087686062,-12676.71482516679,0.3327795262194029,0.6957133800389355,0.062023661667047605,,,0.645,6.595423506630482,2.1974979554996286,439.4995910999257,rollout,,
,,200.0,-5220.484685219824,-10985.415638158589,0.3011038370793723,0.7705812021455672,0.06190747932619391,,,0.5766666666666667,0.17446422248394358,3.2116682569376853,642.3336513875371,rollout,,
,,200.0,-5443.727507561445,-9822.694982199098,0.27244320506708813,0.8146737345926823,0.06021628386025808,,,0.5483333333333333,8.070362835420665,3.048079181092985,609.615836218597,rollout,,
,,200.0,-5333.489615678787,-8796.470958369955,0.24651064133620196,0.7462213533476525,0.05809180932239457,,,0.5333333333333333,6.192055609776443,3.487460243722522,697.4920487445045,rollout,,
,,200.0,-5959.454463042319,-8246.444141924954,0.22304647413401948,0.7117098489278255,0.058772651764700756,,,0.5383333333333333,3.6792921911495613,3.2634009449198764,652.6801889839753,rollout,,
